"","Var1","Var2","Var3","Var4","Var5","Var6","Var7","Var8","Var9","Var10","Var11","Var12","Var13","Var14","Var15","Var16","Var17","Var18","Var19","Freq"
"243","middle age","Female","Non-Hispanic White","High School/GED","Previously Married","Poverty Index <= 1.3","Not Covered","None","Yes","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"244","middle age","Male","Hispanic","Less than High School","Married","Poverty Index <= 1.3","Covered","1","Yes","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"245","older adult","Female","Non-Hispanic Black","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","1","Yes","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"246","middle age","Female","Hispanic","Some college","Married","Poverty Index > 1.85","Covered","4 to 9","Yes","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"247","older adult","Male","Hispanic","Less than High School","Previously Married","Poverty Index > 1.85","Covered","4 to 9","Yes","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"248","older adult","Female","Non-Hispanic Black","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","10 to 12","Yes","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"249","middle age","Male","Non-Hispanic White","Some college","Never Married","Poverty Index > 1.85","Covered","10 to 12","Yes","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"250","middle age","Female","Hispanic","Some college","Previously Married","Poverty Index <= 1.3","Not Covered","None","No","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"251","middle age","Female","Non-Hispanic White","Some college","Married","Poverty Index > 1.85","Covered","None","No","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"252","middle age","Male","Hispanic","College Graduate or above","Married","Poverty Index > 1.85","Covered","None","No","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"253","older adult","Female","Non-Hispanic White","High School/GED","Previously Married","Poverty Index <= 1.3","Covered","1","No","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"254","older adult","Male","Non-Hispanic Black","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","1","No","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"255","middle age","Male","Non-Hispanic White","High School/GED","Married","Poverty Index > 1.85","Covered","1","No","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"256","middle age","Male","Hispanic","High School/GED","Married","Poverty Index > 1.85","Covered","1","No","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"257","middle age","Male","Non-Hispanic White","College Graduate or above","Married","Poverty Index > 1.85","Covered","1","No","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"258","middle age","Female","Non-Hispanic White","High School/GED","Married","Poverty Index in (1.30, 1.85)","Not Covered","2 to 3","No","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"259","middle age","Male","Non-Hispanic White","High School/GED","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"260","middle age","Male","Non-Hispanic White","College Graduate or above","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"261","older adult","Male","Non-Hispanic White","College Graduate or above","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"262","middle age","Female","Non-Hispanic White","College Graduate or above","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"263","middle age","Male","Non-Hispanic White","Less than High School","Previously Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"264","middle age","Male","Hispanic","Some college","Previously Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"265","middle age","Male","Non-Hispanic White","College Graduate or above","Previously Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"266","older adult","Male","Non-Hispanic White","High School/GED","Never Married","Poverty Index in (1.30, 1.85)","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"267","middle age","Female","Non-Hispanic White","High School/GED","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"268","middle age","Male","Non-Hispanic White","Less than High School","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",2
"269","middle age","Male","Non-Hispanic White","Some college","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"270","young adult-2","Female","Non-Hispanic White","College Graduate or above","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"271","young adult-2","Male","Non-Hispanic White","Some college","Previously Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"272","middle age","Male","Non-Hispanic Black","Less than High School","Married","Poverty Index in (1.30, 1.85)","Covered","10 to 12","No","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"273","middle age","Male","Hispanic","High School/GED","Married","Poverty Index > 1.85","Covered","10 to 12","No","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"274","young adult-2","Male","Non-Hispanic White","Some college","Never Married","Poverty Index <= 1.3","Not Covered","1","Yes","Often True","Often True","Yes","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"275","middle age","Female","Hispanic","Some college","Married","Poverty Index <= 1.3","Not Covered","2 to 3","Yes","Often True","Often True","Yes","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"276","young adult-2","Male","Non-Hispanic White","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","4 to 9","Yes","Often True","Often True","Yes","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"277","young adult-2","Female","Non-Hispanic Black","Less than High School","Never Married","Poverty Index <= 1.3","Covered","4 to 9","Yes","Sometimes true","Sometimes true","Yes","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"278","middle age","Female","Non-Hispanic White","Some college","Married","Poverty Index <= 1.3","Covered","10 to 12","Yes","Sometimes true","Never true","Yes","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"279","middle age","Male","Non-Hispanic White","Less than High School","Married","Poverty Index <= 1.3","Covered","10 to 12","No","Sometimes true","Never true","Yes","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"280","older adult","Male","Non-Hispanic Black","Some college","Married","Poverty Index <= 1.3","Covered","2 to 3","Yes","Never true","Never true","Yes","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"281","young adult-2","Male","Non-Hispanic Black","High School/GED","Never Married","Poverty Index in (1.30, 1.85)","Covered","4 to 9","Yes","Never true","Never true","Yes","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"282","middle age","Male","Non-Hispanic White","High School/GED","Married","Poverty Index > 1.85","Covered","1","No","Never true","Never true","Yes","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"283","middle age","Female","Hispanic","Less than High School","Married","Poverty Index > 1.85","Not Covered","2 to 3","No","Never true","Never true","Yes","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"284","young adult-2","Female","Hispanic","High School/GED","Previously Married","Poverty Index <= 1.3","Not Covered","4 to 9","No","Never true","Never true","Yes","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"285","middle age","Male","Non-Hispanic Black","Less than High School","Married","Poverty Index > 1.85","Not Covered","4 to 9","No","Never true","Never true","Yes","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"286","middle age","Male","Non-Hispanic White","Less than High School","Married","Poverty Index in (1.30, 1.85)","Covered","4 to 9","No","Never true","Never true","Yes","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"287","middle age","Female","Non-Hispanic White","High School/GED","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","Yes","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"288","middle age","Male","Non-Hispanic White","Some college","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","Yes","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"289","young adult-2","Male","Hispanic","Less than High School","Previously Married","Poverty Index in (1.30, 1.85)","Covered","10 to 12","No","Never true","Never true","Yes","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"290","young adult-2","Male","Non-Hispanic White","Some college","Previously Married","Poverty Index <= 1.3","Not Covered","None","Yes","Often True","Often True","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"291","middle age","Male","Hispanic","Less than High School","Married","Poverty Index <= 1.3","Not Covered","None","No","Often True","Often True","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"292","older adult","Male","Hispanic","Less than High School","Married","Poverty Index <= 1.3","Not Covered","None","No","Often True","Often True","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"293","middle age","Male","Hispanic","Less than High School","Married","Poverty Index in (1.30, 1.85)","Not Covered","2 to 3","No","Often True","Often True","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"294","middle age","Female","Non-Hispanic White","High School/GED","Previously Married","Poverty Index <= 1.3","Covered","2 to 3","No","Often True","Often True","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"295","young adult-2","Female","Non-Hispanic White","Less than High School","Previously Married","Poverty Index <= 1.3","Not Covered","2 to 3","Yes","Often True","Sometimes true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"296","middle age","Female","Non-Hispanic White","High School/GED","Never Married","Poverty Index in (1.30, 1.85)","Not Covered","2 to 3","Yes","Often True","Sometimes true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"297","middle age","Male","Non-Hispanic Black","Less than High School","Married","Poverty Index in (1.30, 1.85)","Not Covered","None","Yes","Sometimes true","Sometimes true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"298","middle age","Male","Non-Hispanic White","Less than High School","Previously Married","Poverty Index in (1.30, 1.85)","Covered","None","Yes","Sometimes true","Sometimes true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"299","young adult-2","Male","Non-Hispanic White","High School/GED","Never Married","Poverty Index <= 1.3","Not Covered","1","Yes","Sometimes true","Sometimes true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"300","middle age","Male","Non-Hispanic White","High School/GED","Married","Poverty Index <= 1.3","Not Covered","1","Yes","Sometimes true","Sometimes true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"301","young adult-2","Male","Hispanic","High School/GED","Married","Poverty Index <= 1.3","Not Covered","1","Yes","Sometimes true","Sometimes true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"302","middle age","Female","Non-Hispanic White","Some college","Previously Married","Poverty Index <= 1.3","Covered","2 to 3","Yes","Sometimes true","Sometimes true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"303","young adult-2","Male","Non-Hispanic White","High School/GED","Married","Poverty Index <= 1.3","Covered","4 to 9","Yes","Sometimes true","Sometimes true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"304","young adult-2","Male","Hispanic","Less than High School","Never Married","Poverty Index <= 1.3","Not Covered","None","No","Sometimes true","Sometimes true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"305","middle age","Male","Non-Hispanic White","Some college","Previously Married","Poverty Index <= 1.3","Not Covered","None","No","Sometimes true","Sometimes true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"306","middle age","Male","Non-Hispanic Black","Less than High School","Married","Poverty Index <= 1.3","Covered","None","No","Sometimes true","Sometimes true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"307","young adult-2","Female","Non-Hispanic Black","College Graduate or above","Previously Married","Poverty Index > 1.85","Covered","1","No","Sometimes true","Sometimes true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"308","middle age","Male","Non-Hispanic White","Some college","Never Married","Poverty Index <= 1.3","Not Covered","None","No","Never true","Sometimes true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"309","middle age","Male","Hispanic","Less than High School","Previously Married","Poverty Index > 1.85","Covered","None","No","Never true","Sometimes true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"310","older adult","Female","Non-Hispanic White","High School/GED","Previously Married","Poverty Index in (1.30, 1.85)","Covered","None","Yes","Sometimes true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"311","young adult-2","Male","Non-Hispanic Black","Less than High School","Never Married","Poverty Index <= 1.3","Not Covered","None","Yes","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"312","middle age","Male","Hispanic","Less than High School","Married","Poverty Index <= 1.3","Not Covered","None","Yes","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"313","middle age","Male","Non-Hispanic White","High School/GED","Previously Married","Poverty Index <= 1.3","Not Covered","None","Yes","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"314","middle age","Male","Non-Hispanic White","Less than High School","Married","Poverty Index in (1.30, 1.85)","Not Covered","None","Yes","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"315","young adult-2","Male","Non-Hispanic White","High School/GED","Married","Poverty Index > 1.85","Not Covered","None","Yes","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"316","middle age","Female","Non-Hispanic White","High School/GED","Married","Poverty Index > 1.85","Not Covered","None","Yes","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"317","young adult-2","Female","Non-Hispanic Black","High School/GED","Never Married","Poverty Index in (1.30, 1.85)","Covered","None","Yes","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"318","middle age","Female","Non-Hispanic White","Less than High School","Married","Poverty Index in (1.30, 1.85)","Not Covered","1","Yes","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"319","middle age","Female","Non-Hispanic White","High School/GED","Previously Married","Poverty Index <= 1.3","Covered","1","Yes","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"320","older adult","Female","Non-Hispanic White","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","1","Yes","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"321","middle age","Male","Hispanic","Some college","Married","Poverty Index > 1.85","Covered","1","Yes","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"322","young adult-2","Male","Non-Hispanic Black","High School/GED","Previously Married","Poverty Index in (1.30, 1.85)","Covered","2 to 3","Yes","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"323","young adult-2","Female","Other","High School/GED","Previously Married","Poverty Index <= 1.3","Covered","4 to 9","Yes","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"324","young adult-2","Female","Non-Hispanic Black","Some college","Never Married","Poverty Index <= 1.3","Covered","10 to 12","Yes","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"325","young adult-2","Female","Hispanic","High School/GED","Married","Poverty Index > 1.85","Covered","13 or more","Yes","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"326","young adult-2","Male","Non-Hispanic White","Some college","Previously Married","Poverty Index > 1.85","Covered","13 or more","Yes","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"327","middle age","Female","Non-Hispanic Black","Less than High School","Never Married","Poverty Index <= 1.3","Not Covered","None","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"328","middle age","Female","Non-Hispanic White","High School/GED","Married","Poverty Index <= 1.3","Not Covered","None","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"329","middle age","Male","Non-Hispanic White","Less than High School","Married","Poverty Index <= 1.3","Not Covered","None","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"330","middle age","Male","Hispanic","Less than High School","Married","Poverty Index in (1.30, 1.85)","Not Covered","None","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"331","young adult-2","Female","Hispanic","College Graduate or above","Married","Poverty Index in (1.30, 1.85)","Not Covered","None","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"332","middle age","Male","Other","Less than High School","Married","Poverty Index <= 1.3","Covered","None","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"333","middle age","Male","Non-Hispanic White","Some college","Never Married","Poverty Index > 1.85","Covered","None","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"334","young adult-2","Male","Non-Hispanic Black","Less than High School","Married","Poverty Index > 1.85","Covered","None","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"335","young adult-2","Male","Non-Hispanic White","Some college","Married","Poverty Index > 1.85","Covered","None","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"336","middle age","Male","Non-Hispanic White","High School/GED","Previously Married","Poverty Index <= 1.3","Not Covered","1","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"337","young adult-2","Male","Non-Hispanic White","High School/GED","Previously Married","Poverty Index <= 1.3","Not Covered","1","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"338","middle age","Male","Non-Hispanic White","Less than High School","Previously Married","Poverty Index <= 1.3","Not Covered","1","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"339","older adult","Male","Hispanic","Less than High School","Married","Poverty Index in (1.30, 1.85)","Not Covered","1","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"340","middle age","Female","Non-Hispanic White","Some college","Previously Married","Poverty Index > 1.85","Not Covered","1","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"341","young adult-2","Female","Non-Hispanic White","High School/GED","Never Married","Poverty Index > 1.85","Covered","1","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"342","middle age","Male","Non-Hispanic White","Some college","Married","Poverty Index > 1.85","Covered","1","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"343","middle age","Male","Hispanic","Some college","Married","Poverty Index > 1.85","Covered","1","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",2
"344","older adult","Female","Non-Hispanic White","Some college","Previously Married","Poverty Index > 1.85","Covered","1","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"345","middle age","Male","Non-Hispanic White","College Graduate or above","Previously Married","Poverty Index > 1.85","Covered","1","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"346","middle age","Male","Non-Hispanic Black","Some college","Married","Poverty Index <= 1.3","Covered","2 to 3","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"347","older adult","Male","Non-Hispanic White","High School/GED","Married","Poverty Index in (1.30, 1.85)","Covered","2 to 3","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"348","middle age","Female","Other","High School/GED","Married","Poverty Index in (1.30, 1.85)","Covered","2 to 3","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"349","middle age","Male","Non-Hispanic Black","High School/GED","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"350","middle age","Male","Non-Hispanic White","Less than High School","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"351","middle age","Male","Non-Hispanic White","Some college","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"352","middle age","Female","Non-Hispanic White","Some college","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"353","young adult-2","Male","Hispanic","College Graduate or above","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"354","middle age","Male","Non-Hispanic Black","High School/GED","Previously Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"355","young adult-2","Male","Hispanic","Some college","Previously Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"356","middle age","Male","Non-Hispanic White","College Graduate or above","Previously Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"357","middle age","Female","Non-Hispanic White","College Graduate or above","Previously Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"358","older adult","Female","Hispanic","College Graduate or above","Previously Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"359","middle age","Female","Non-Hispanic Black","High School/GED","Previously Married","Poverty Index <= 1.3","Covered","4 to 9","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"360","older adult","Male","Non-Hispanic Black","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","4 to 9","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"361","older adult","Female","Non-Hispanic White","College Graduate or above","Previously Married","Poverty Index in (1.30, 1.85)","Covered","4 to 9","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"362","middle age","Male","Non-Hispanic White","College Graduate or above","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"363","older adult","Male","Non-Hispanic White","College Graduate or above","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"364","young adult-2","Female","Non-Hispanic White","College Graduate or above","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"365","young adult-2","Male","Non-Hispanic White","College Graduate or above","Married","Poverty Index <= 1.3","Covered","10 to 12","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"366","middle age","Female","Non-Hispanic White","College Graduate or above","Married","Poverty Index > 1.85","Covered","13 or more","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"367","middle age","Female","Non-Hispanic White","Some college","Previously Married","Poverty Index > 1.85","Covered","13 or more","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","No",1
"368","middle age","Female","Hispanic","Some college","Married","Poverty Index <= 1.3","Covered","10 to 12","Yes","Sometimes true","Sometimes true","Yes","Yes","Not at Risk","No","Current Drinker","Less than Weekly","No","No",1
"369","older adult","Male","Non-Hispanic White","Less than High School","Married","Poverty Index <= 1.3","Covered","4 to 9","No","Never true","Never true","Yes","Yes","Not at Risk","No","Current Drinker","Less than Weekly","No","No",1
"370","middle age","Male","Non-Hispanic Black","Less than High School","Married","Poverty Index > 1.85","Covered","2 to 3","No","Often True","Often True","No","Yes","Not at Risk","No","Current Drinker","Less than Weekly","No","No",1
"371","older adult","Female","Non-Hispanic White","Less than High School","Previously Married","Poverty Index > 1.85","Covered","None","No","Never true","Never true","No","Yes","Not at Risk","No","Current Drinker","Less than Weekly","No","No",1
"372","older adult","Female","Other","Some college","Previously Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","Yes","Not at Risk","No","Current Drinker","Less than Weekly","No","No",1
"373","middle age","Female","Non-Hispanic Black","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","4 to 9","No","Never true","Never true","No","Yes","Not at Risk","No","Current Drinker","Less than Weekly","No","No",1
"374","middle age","Female","Hispanic","Some college","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","Yes","Not at Risk","No","Current Drinker","Less than Weekly","No","No",1
"375","middle age","Male","Non-Hispanic White","College Graduate or above","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","Yes","No","Not at Risk","No","Current Drinker","Less than Weekly","No","No",1
"376","young adult-2","Female","Non-Hispanic White","Some college","Married","Poverty Index > 1.85","Covered","4 to 9","No","Sometimes true","Never true","No","No","Not at Risk","No","Current Drinker","Less than Weekly","No","No",1
"377","young adult-2","Female","Non-Hispanic White","College Graduate or above","Married","Poverty Index > 1.85","Covered","None","No","Never true","Never true","No","No","Not at Risk","No","Current Drinker","Less than Weekly","No","No",1
"378","middle age","Female","Hispanic","College Graduate or above","Married","Poverty Index > 1.85","Covered","None","No","Never true","Never true","No","No","Not at Risk","No","Current Drinker","Less than Weekly","No","No",1
"379","young adult-2","Female","Non-Hispanic Black","Some college","Previously Married","Poverty Index > 1.85","Covered","None","No","Never true","Never true","No","No","Not at Risk","No","Current Drinker","Less than Weekly","No","No",1
"380","middle age","Male","Non-Hispanic White","High School/GED","Married","Poverty Index > 1.85","Covered","1","No","Never true","Never true","No","No","Not at Risk","No","Current Drinker","Less than Weekly","No","No",1
"381","middle age","Male","Non-Hispanic White","Some college","Married","Poverty Index > 1.85","Covered","1","No","Never true","Never true","No","No","Not at Risk","No","Current Drinker","Less than Weekly","No","No",1
"382","middle age","Female","Hispanic","Less than High School","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","No","Not at Risk","No","Current Drinker","Less than Weekly","No","No",1
"383","middle age","Male","Non-Hispanic White","Some college","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","No","Not at Risk","No","Current Drinker","Less than Weekly","No","No",1
"384","middle age","Female","Non-Hispanic White","Some college","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","No","Not at Risk","No","Current Drinker","Less than Weekly","No","No",1
